# SYNTHESISED to exercise a lane holding far more calls than the bar drawn
# for it has columns: sixty aws calls of 40ms each, one every three seconds
# from 3s to 180s. None of them overlaps another, so PackLanes puts all
# sixty in ONE lane, and at every width this interface renders at there are
# fewer columns in the bar than there are calls in the lane -- with the
# calls spaced closely enough that every column holds at least one. Drawing
# each column as merely lit or unlit therefore paints the whole lane solid
# while its true occupancy is 40ms in every three seconds, about 1.3%:
# waiting rendered as work, which is the inversion of the one question this
# view exists to answer. The bar's shading is what keeps that visible. The
# line shape is testdata/two-providers.log's "Received downstream response"
# verbatim. The first line is not itself a response: it exists only to
# anchor the scanner's base clock a few seconds before the first real span,
# so that span's start is not clamped to zero by ReportedBuilder (see the
# doc comment on span.Span). Values are invented; no line here is from a
# real run.
2026-09-05T04:00:00.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Configuring provider client @module=sdk.proto
2026-09-05T04:00:33.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0011-4a1b-8c2d-000000000011 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:36.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0012-4a1b-8c2d-000000000012 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:39.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0013-4a1b-8c2d-000000000013 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:42.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0014-4a1b-8c2d-000000000014 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:45.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0015-4a1b-8c2d-000000000015 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:48.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0016-4a1b-8c2d-000000000016 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:51.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0017-4a1b-8c2d-000000000017 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:54.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0018-4a1b-8c2d-000000000018 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:00:57.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0019-4a1b-8c2d-000000000019 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:00.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0020-4a1b-8c2d-000000000020 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:03.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0021-4a1b-8c2d-000000000021 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:06.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0022-4a1b-8c2d-000000000022 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:09.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0023-4a1b-8c2d-000000000023 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:12.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0024-4a1b-8c2d-000000000024 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:15.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0025-4a1b-8c2d-000000000025 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:18.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0026-4a1b-8c2d-000000000026 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:21.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0027-4a1b-8c2d-000000000027 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:24.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0028-4a1b-8c2d-000000000028 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:27.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0029-4a1b-8c2d-000000000029 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:30.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0030-4a1b-8c2d-000000000030 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:33.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0031-4a1b-8c2d-000000000031 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:36.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0032-4a1b-8c2d-000000000032 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:39.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0033-4a1b-8c2d-000000000033 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:42.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0034-4a1b-8c2d-000000000034 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:45.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0035-4a1b-8c2d-000000000035 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:48.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0036-4a1b-8c2d-000000000036 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:51.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0037-4a1b-8c2d-000000000037 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:54.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0038-4a1b-8c2d-000000000038 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:01:57.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0039-4a1b-8c2d-000000000039 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:00.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0040-4a1b-8c2d-000000000040 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:03.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0041-4a1b-8c2d-000000000041 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:06.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0042-4a1b-8c2d-000000000042 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:09.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0043-4a1b-8c2d-000000000043 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:12.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0044-4a1b-8c2d-000000000044 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:15.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0045-4a1b-8c2d-000000000045 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:18.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0046-4a1b-8c2d-000000000046 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:21.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0047-4a1b-8c2d-000000000047 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:24.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0048-4a1b-8c2d-000000000048 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:27.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0049-4a1b-8c2d-000000000049 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:30.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0050-4a1b-8c2d-000000000050 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:33.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0051-4a1b-8c2d-000000000051 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:36.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0052-4a1b-8c2d-000000000052 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:39.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0053-4a1b-8c2d-000000000053 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:42.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0054-4a1b-8c2d-000000000054 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:45.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0055-4a1b-8c2d-000000000055 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:48.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0056-4a1b-8c2d-000000000056 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:51.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0057-4a1b-8c2d-000000000057 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:54.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0058-4a1b-8c2d-000000000058 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:02:57.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0059-4a1b-8c2d-000000000059 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
2026-09-05T04:03:00.000Z [TRACE] provider.terraform-provider-aws_v5.60.0_x5: Received downstream response: tf_req_id=aaaaaaaa-0060-4a1b-8c2d-000000000060 tf_resource_type=aws_instance tf_rpc=ReadResource tf_proto_version=5.3 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_duration_ms=40 @module=sdk.proto
